Parameter,Jan-24,Feb-24,Marec 2024,Apr-24,Maj 2024,Junij 2024,Julij 2024,Avgust 2024,Sep-24,Oktober 2024,Nov-24,Dec-24
povprečna temperatura zraka na 2 m (°C),5.6,9,11.3,13.6,17.8,22.5,26,26.2,19.6,16.4,9,6.4
povprečna maksimalna temperatura na 2 m (°C),10.5,13.5,16.4,19.7,23,27.7,32.2,33,25.3,21,14.8,11.4
povprečna minimalna temperatura na 2 m (°C),1.9,5.5,7.1,8,12.8,17.1,19.7,20.2,15.6,13.3,4.9,2.5
povprečna relativna vlaga (%),74,81,76,69,73,70,63,64,70,82,77,69
povprečna oblačnost,,93,,,,,,,,,
povprečen zračni tlak (hPa),1019,1016,1012,1015,1013,1013,1012,1013,1013,1018,1021,1021
povprečna hitrost vetra (m/s),2.9,2.4,2.8,3.2,2.8,2.6,2.9,3,3.1,2.9,2.6,3.1
količina padavin (mm),56.1,64,79.5,66.4,123.9,77,14.2,21.5,246.1,196.8,44.4,94.4
maksimalna dnevna količina padavin (mm),21.1,18.6,21.3,16,44.9,20.6,8.2,13.7,79.7,61.9,30.7,51
število hladnih dni (minimalna temperatura < 0 °C),11,1,0,0,0,0,0,0,0,0,2,6
število toplih dni (maksimalna temperatura ≥ 25 °C),0,0,0,5,3,23,31,31,15,0,0,0
število vročih dni (maksimalna temperatura ≥ 30 °C),0,0,0,0,0,9,25,30,4,0,0,0
število toplih noči (minimalna temperatura ≥ 20 °C),0,0,0,0,0,4,14,19,3,0,0,0
število dni z močnim vetrom (> 6 bf),7,2,7,8,3,5,4,1,8,5,5,8
število dni z nevihto,0,0,0,3,8,8,4,2,7,2,0,0
število dni s padavinami nad 0.1 mm,9,11,16,9,12,9,5,3,10,15,6,4
število dni s padavinami nad 10 mm,2,3,4,4,5,3,0,1,4,6,1,3
število dni s padavinami nad 20 mm,1,0,1,0,1,1,0,0,3,3,1,2
število dni z dežjem nad 0.1 mm,9,11,16,9,12,9,5,3,10,15,6,4
